actual Price,pred Price
23.6,29.218660139899292
32.4,33.551467195598065
13.6,14.810657992190968
22.8,25.084725457783613
16.1,19.17392702145442
20.0,23.28640399493556
17.8,17.744122496463874
14.0,14.460921226971713
19.6,23.302591071627088
16.8,20.756479917069463
21.5,22.4531707440595
18.9,18.777364880211575
7.0,-6.5297093461889375
21.2,21.749684925004097
18.5,19.30195869327467
29.8,26.595220809280214
18.8,21.21754878164619
10.2,5.842563450902141
50.0,40.88127145258736
14.1,17.986900482129467
25.2,27.431772991820587
29.1,30.298717532534866
12.7,11.20759373332056
22.4,24.396915427110216
14.2,18.240072543864713
13.8,16.010876184780688
20.3,22.796836081296973
14.9,14.739583498561334
21.7,19.755762719839844
18.3,19.292986690165975
23.1,22.520173257143544
23.8,25.379839827284577
15.0,26.36505651108038
20.8,18.23697690480197
19.1,16.93419023896909
19.4,17.55836755543347
34.7,31.503359015441394
19.5,20.241595759941696
24.4,21.082514444708046
23.4,24.652675635326084
19.7,13.904520831548588
28.2,32.57892684510328
50.0,43.16818646446915
17.4,17.12896113258212
22.6,27.367060259752773
15.1,17.35854091732743
13.1,14.01099631489326
24.2,25.952295844344803
19.9,20.565382977848614
24.0,30.17900870369374
18.9,21.497711191350856
35.4,34.682429625704984
15.2,16.023344008334465
26.5,26.33533750995441
43.5,40.120238253634625
21.2,22.9008321525845
18.4,19.300660178120577
28.5,32.996705134713295
23.9,25.112696665080627
18.5,12.732246366835632
25.0,22.792393315542583
35.4,30.711759583800514
31.5,31.814871720900783
20.2,15.828260364214383
24.1,20.058198357229355
20.0,13.909102924848636
13.1,20.92057234313345
24.8,26.018022506521906
30.8,30.804720896022708
12.7,11.733697745251058
20.0,20.50842275693611
23.7,27.850985941136084
10.8,11.201112409792332
20.6,15.498383120882764
20.8,23.817491863233634
5.0,6.142938715610271
20.1,21.628369044651265
48.5,41.886266380553316
10.9,19.042884512954586
7.0,8.717542512844961
20.9,20.714910501906814
17.2,13.321767621578871
20.9,20.65818567244522
9.7,9.526386341544232
19.4,23.44962478939518
29.0,29.401169437180982
16.4,19.46566931495292
25.0,25.674380335754055
25.0,29.409087186825115
17.1,20.440202887232953
23.2,25.707994030828026
10.4,5.591998420606881
19.6,20.410591084466855
17.2,14.700934625386918
27.5,12.90622240724231
23.0,21.060078228638698
50.0,25.173683869365828
17.9,-0.5204526837966661
9.6,13.857699456693705
17.2,16.19518172635984
22.5,22.248169013851076
21.4,24.52416596966927
